blocks,replicate,value_ms
10,1,0.0447641
10,2,0.0448899
10,3,0.0449063
10,4,0.0449374
10,5,0.0451237
10,6,0.0451497
10,7,0.0453614
10,8,0.0466207
10,9,0.0470263
10,10,0.0477768
10,11,0.0478253
10,12,0.0482639
10,13,0.0487702
10,14,0.0496568
10,15,0.0505177
10,16,0.0505477
10,17,0.0515455
10,18,0.0523679
10,19,0.0531848
10,20,0.0533078
10,21,0.0537679
10,22,0.0542972
10,23,0.0567672
10,24,0.0571452
10,25,0.0582061
10,26,0.0741018
10,27,0.0755187
10,28,0.0757215
10,29,0.0777801
10,30,0.0782891
10,31,0.10226
100,1,0.103498
100,2,0.108304
100,3,0.113011
100,4,0.115075
100,5,0.115871
100,6,0.11734
100,7,0.117867
100,8,0.121904
100,9,0.123011
100,10,0.126285
100,11,0.127467
100,12,0.134531
100,13,0.136482
100,14,0.137067
100,15,0.140065
100,16,0.140065
100,17,0.140855
100,18,0.141527
100,19,0.141627
100,20,0.141962
100,21,0.145476
100,22,0.147404
100,23,0.148115
100,24,0.149771
100,25,0.150127
100,26,0.155318
100,27,0.155753
100,28,0.155875
100,29,0.161169
100,30,0.172831
100,31,0.188976
1000,1,0.159346
1000,2,0.159785
1000,3,0.168748
1000,4,0.171512
1000,5,0.174009
1000,6,0.176135
1000,7,0.178266
1000,8,0.179062
1000,9,0.179266
1000,10,0.182226
1000,11,0.183703
1000,12,0.186567
1000,13,0.1907
1000,14,0.191624
1000,15,0.192106
1000,16,0.196109
1000,17,0.196683
1000,18,0.197478
1000,19,0.199183
1000,20,0.20828
1000,21,0.208828
1000,22,0.20962
1000,23,0.214192
1000,24,0.216536
1000,25,0.221245
1000,26,0.22128
1000,27,0.227805
1000,28,0.233319
1000,29,0.243536
1000,30,0.282279
1000,31,0.328548
2000,1,0.155533
2000,2,0.156395
2000,3,0.162637
2000,4,0.167155
2000,5,0.170318
2000,6,0.176586
2000,7,0.177091
2000,8,0.179446
2000,9,0.182175
2000,10,0.182445
2000,11,0.183427
2000,12,0.183505
2000,13,0.183867
2000,14,0.183972
2000,15,0.185628
2000,16,0.186058
2000,17,0.187545
2000,18,0.187704
2000,19,0.195102
2000,20,0.195675
2000,21,0.196661
2000,22,0.197662
2000,23,0.198467
2000,24,0.201299
2000,25,0.203424
2000,26,0.205329
2000,27,0.207814
2000,28,0.21753
2000,29,0.218092
2000,30,0.238316
2000,31,0.248534
500,1,0.168132
500,2,0.172981
500,3,0.176687
500,4,0.181241
500,5,0.183495
500,6,0.187934
500,7,0.188308
500,8,0.188403
500,9,0.188947
500,10,0.189106
500,11,0.189955
500,12,0.190279
500,13,0.193672
500,14,0.195608
500,15,0.195807
500,16,0.196957
500,17,0.197634
500,18,0.197682
500,19,0.201557
500,20,0.202892
500,21,0.203297
500,22,0.203349
500,23,0.203634
500,24,0.206217
500,25,0.207654
500,26,0.208289
500,27,0.209638
500,28,0.210723
500,29,0.212692
500,30,0.2237
500,31,0.257529
5000,1,0.149336
5000,2,0.159479
5000,3,0.177065
5000,4,0.177657
5000,5,0.182528
5000,6,0.183424
5000,7,0.18886
5000,8,0.189925
5000,9,0.191851
5000,10,0.192353
5000,11,0.193344
5000,12,0.193881
5000,13,0.197511
5000,14,0.199467
5000,15,0.201628
5000,16,0.205221
5000,17,0.205233
5000,18,0.206426
5000,19,0.207317
5000,20,0.209053
5000,21,0.209121
5000,22,0.210901
5000,23,0.213622
5000,24,0.215779
5000,25,0.216129
5000,26,0.216732
5000,27,0.217439
5000,28,0.218506
5000,29,0.227371
5000,30,0.235582
5000,31,0.248583
