holders,replicate,value_ms
10,1,0.0234442
10,2,0.0242597
10,3,0.0244598
10,4,0.0246798
10,5,0.0247113
10,6,0.0249051
10,7,0.0249556
10,8,0.0249747
10,9,0.0251026
10,10,0.0256447
10,11,0.0259208
10,12,0.0264625
10,13,0.0265915
10,14,0.0267716
10,15,0.0268633
10,16,0.0271405
10,17,0.0273573
10,18,0.0280633
10,19,0.0285676
10,20,0.0295602
10,21,0.0306527
10,22,0.0309299
10,23,0.0316264
10,24,0.0327898
10,25,0.0344239
10,26,0.036273
10,27,0.0363029
10,28,0.0382096
10,29,0.0402218
10,30,0.0405042
10,31,0.0510191
100,1,0.123247
100,2,0.124394
100,3,0.130937
100,4,0.131486
100,5,0.131607
100,6,0.132188
100,7,0.133436
100,8,0.133978
100,9,0.134329
100,10,0.134783
100,11,0.135088
100,12,0.136297
100,13,0.136504
100,14,0.137106
100,15,0.13839
100,16,0.140536
100,17,0.141874
100,18,0.14191
100,19,0.14197
100,20,0.142805
100,21,0.143673
100,22,0.144771
100,23,0.14484
100,24,0.144959
100,25,0.146065
100,26,0.146933
100,27,0.147532
100,28,0.150029
100,29,0.163842
100,30,0.184405
100,31,0.193083
1000,1,0.898096
1000,2,0.910783
1000,3,0.922426
1000,4,0.930674
1000,5,0.934691
1000,6,0.946848
1000,7,0.962757
1000,8,0.967474
1000,9,0.971939
1000,10,0.974665
1000,11,0.977335
1000,12,0.977496
1000,13,0.980652
1000,14,0.985674
1000,15,0.989461
1000,16,1.01522
1000,17,1.01536
1000,18,1.03155
1000,19,1.04775
1000,20,1.05329
1000,21,1.05437
1000,22,1.05481
1000,23,1.05991
1000,24,1.066
1000,25,1.06679
1000,26,1.07608
1000,27,1.089
1000,28,1.11862
1000,29,1.13912
1000,30,1.21567
1000,31,1.7321
2000,1,1.73724
2000,2,1.79845
2000,3,1.85134
2000,4,1.86062
2000,5,1.88235
2000,6,1.88272
2000,7,1.88405
2000,8,1.88583
2000,9,1.88589
2000,10,1.88665
2000,11,1.89171
2000,12,1.8949
2000,13,1.93459
2000,14,2.0072
2000,15,2.03
2000,16,2.03534
2000,17,2.03595
2000,18,2.05226
2000,19,2.06849
2000,20,2.12981
2000,21,2.14216
2000,22,2.16246
2000,23,2.1901
2000,24,2.21181
2000,25,2.21711
2000,26,2.21834
2000,27,2.26821
2000,28,2.37795
2000,29,2.57693
2000,30,2.64844
2000,31,4.33729
250,1,0.265251
250,2,0.270944
250,3,0.27408
250,4,0.277213
250,5,0.280409
250,6,0.283725
250,7,0.284486
250,8,0.284813
250,9,0.28704
250,10,0.290571
250,11,0.291213
250,12,0.291473
250,13,0.291675
250,14,0.293151
250,15,0.295024
250,16,0.295846
250,17,0.299331
250,18,0.300396
250,19,0.302619
250,20,0.303922
250,21,0.306755
250,22,0.307752
250,23,0.313646
250,24,0.314859
250,25,0.324256
250,26,0.328131
250,27,0.330022
250,28,0.535268
250,29,0.567738
250,30,0.653441
250,31,0.818526
50,1,0.0584851
50,2,0.0656029
50,3,0.0677274
50,4,0.06876
50,5,0.0687823
50,6,0.0694994
50,7,0.0696697
50,8,0.0709617
50,9,0.0711149
50,10,0.0712309
50,11,0.071424
50,12,0.0715103
50,13,0.0718377
50,14,0.0719771
50,15,0.0731646
50,16,0.0740331
50,17,0.0741074
50,18,0.0755063
50,19,0.0756709
50,20,0.0756829
50,21,0.0761629
50,22,0.0769789
50,23,0.0770246
50,24,0.0784966
50,25,0.08064
50,26,0.0813149
50,27,0.0813971
50,28,0.0818577
50,29,0.108585
50,30,0.121895
50,31,0.130938
500,1,0.476821
500,2,0.481794
500,3,0.493597
500,4,0.498652
500,5,0.509264
500,6,0.510203
500,7,0.51377
500,8,0.520209
500,9,0.52163
500,10,0.52443
500,11,0.525258
500,12,0.527067
500,13,0.5351
500,14,0.538258
500,15,0.538524
500,16,0.538697
500,17,0.559755
500,18,0.560415
500,19,0.56153
500,20,0.562982
500,21,0.569915
500,22,0.576515
500,23,0.580609
500,24,0.583018
500,25,0.584373
500,26,0.590309
500,27,0.599748
500,28,0.605506
500,29,0.608842
500,30,0.645055
500,31,0.892758
