label,workers,tps,committed,submitted,rejected,median_ms,mean_ms,p95_ms,max_ms
indexed,1,445.70,6687,6687,0,152.63,153.64,246.77,285.03
indexed,2,1673.35,25525,25525,0,805.69,808.91,1101.16,1196.77
indexed,4,1580.20,23712,23712,0,2126.29,2112.83,2764.80,2904.89
indexed,8,1548.49,23232,23232,0,2236.24,2212.06,2902.23,3082.88
indexed,16,1399.93,21007,21007,0,2361.21,2314.85,3142.12,3498.17
indexed,32,1479.47,22197,22197,0,2624.16,2608.44,3521.89,3732.05
scan,1,44.39,666,666,0,125.14,125.11,216.47,239.42
scan,2,57.45,862,862,0,134.96,135.97,226.76,326.27
scan,4,65.16,978,978,0,160.53,161.16,251.65,269.94
scan,8,64.90,974,974,0,221.97,222.37,320.22,436.23
scan,16,55.75,838,862,0,382.05,393.14,637.07,853.74
scan,32,36.26,544,590,0,1086.45,1499.52,4230.20,4252.16
