label,nodes,quorum,round,consensus_ms
q5p1,5,5,1,10.898
q5p1,5,5,2,13.601
q5p1,5,5,3,13.620
q5p1,5,5,4,14.250
q5p1,5,5,5,14.825
q5p1,5,5,6,12.412
q5p1,5,5,7,12.502
q5p1,5,5,8,13.793
q5p1,5,5,9,12.432
q5p1,5,5,10,12.896
q5p1,5,5,11,14.119
q5p1,5,5,12,13.298
q5p1,5,5,13,10.835
q5p1,5,5,14,8.106
q5p1,5,5,15,10.646
q5p1,5,5,16,9.635
q5p1,5,5,17,10.586
q5p1,5,5,18,9.950
q5p1,5,5,19,8.815
q5p1,5,5,20,10.619
q2p1,5,2,1,5.500
q2p1,5,2,2,6.214
q2p1,5,2,3,8.953
q2p1,5,2,4,7.193
q2p1,5,2,5,5.018
q2p1,5,2,6,5.696
q2p1,5,2,7,8.291
q2p1,5,2,8,7.764
q2p1,5,2,9,7.047
q2p1,5,2,10,6.412
q2p1,5,2,11,9.268
q2p1,5,2,12,8.078
q2p1,5,2,13,7.997
q2p1,5,2,14,5.830
q2p1,5,2,15,3.288
q2p1,5,2,16,4.062
q2p1,5,2,17,5.620
q2p1,5,2,18,8.785
q2p1,5,2,19,5.827
q2p1,5,2,20,6.091
q4p1,5,4,1,11.553
q4p1,5,4,2,8.426
q4p1,5,4,3,10.825
q4p1,5,4,4,8.767
q4p1,5,4,5,12.761
q4p1,5,4,6,9.794
q4p1,5,4,7,11.445
q4p1,5,4,8,8.582
q4p1,5,4,9,10.320
q4p1,5,4,10,8.978
q4p1,5,4,11,10.659
q4p1,5,4,12,10.723
q4p1,5,4,13,8.527
q4p1,5,4,14,9.286
q4p1,5,4,15,10.710
q4p1,5,4,16,8.959
q4p1,5,4,17,10.298
q4p1,5,4,18,8.844
q4p1,5,4,19,8.329
q4p1,5,4,20,10.129
q3p1,5,3,1,9.769
q3p1,5,3,2,14.746
q3p1,5,3,3,16.302
q3p1,5,3,4,12.235
q3p1,5,3,5,11.396
q3p1,5,3,6,12.610
q3p1,5,3,7,13.021
q3p1,5,3,8,14.538
q3p1,5,3,9,11.611
q3p1,5,3,10,12.592
q3p1,5,3,11,14.875
q3p1,5,3,12,12.408
q3p1,5,3,13,9.875
q3p1,5,3,14,15.831
