blocks_and_method,replicate,value_ms
10000|index,1,0.00280731
10000|index,2,0.00281535
10000|index,3,0.00286387
10000|index,4,0.0029398
10000|index,5,0.00294469
10000|index,6,0.00296572
10000|index,7,0.00304192
10000|index,8,0.0030648
10000|index,9,0.00306648
10000|index,10,0.00310985
10000|index,11,0.0031135
10000|index,12,0.00316538
10000|index,13,0.00325112
10000|index,14,0.00325235
10000|index,15,0.00325917
10000|index,16,0.00330057
10000|index,17,0.00332379
10000|index,18,0.00333132
10000|index,19,0.00333984
10000|index,20,0.00334199
10000|index,21,0.00341092
10000|index,22,0.00343591
10000|index,23,0.00357204
10000|index,24,0.00358882
10000|index,25,0.00363387
10000|index,26,0.00365626
10000|index,27,0.00372596
10000|index,28,0.00381289
10000|index,29,0.00385598
10000|index,30,0.00405937
10000|index,31,0.0045447
10000|scan,1,717.901
10000|scan,2,719.302
10000|scan,3,754.595
10000|scan,4,794.846
10000|scan,5,832.981
10000|scan,6,904.656
10000|scan,7,932.147
10000|scan,8,958.531
10000|scan,9,973.637
10000|scan,10,976.047
10000|scan,11,992.242
10000|scan,12,999.446
10000|scan,13,1001.66
10000|scan,14,1021.24
10000|scan,15,1145.56
1000|index,1,0.00232782
1000|index,2,0.00234772
1000|index,3,0.00236754
1000|index,4,0.00244691
1000|index,5,0.00246329
1000|index,6,0.00252269
1000|index,7,0.00253705
1000|index,8,0.00256968
1000|index,9,0.00257418
1000|index,10,0.00258277
1000|index,11,0.00258624
1000|index,12,0.0026002
1000|index,13,0.00260463
1000|index,14,0.00264311
1000|index,15,0.00265812
1000|index,16,0.00266442
1000|index,17,0.00270707
1000|index,18,0.00273651
1000|index,19,0.00277804
1000|index,20,0.00279903
1000|index,21,0.00280263
1000|index,22,0.0028941
1000|index,23,0.00290069
1000|index,24,0.00302509
1000|index,25,0.00303297
1000|index,26,0.00310624
1000|index,27,0.00319012
1000|index,28,0.00324305
1000|index,29,0.00334317
1000|index,30,0.0034501
1000|index,31,0.00377626
1000|scan,1,68.1315
1000|scan,2,68.4711
1000|scan,3,69.1969
1000|scan,4,69.4385
1000|scan,5,69.4471
1000|scan,6,69.6
1000|scan,7,70.1677
1000|scan,8,72.6558
1000|scan,9,72.8306
1000|scan,10,73.6239
1000|scan,11,73.6857
1000|scan,12,73.8884
1000|scan,13,74.1862
1000|scan,14,74.3045
1000|scan,15,74.5205
1000|scan,16,75.9736
1000|scan,17,76.684
1000|scan,18,77.6471
1000|scan,19,78.4964
1000|scan,20,79.9511
100|index,1,0.00237896
100|index,2,0.00238831
100|index,3,0.00239367
100|index,4,0.00240282
100|index,5,0.00246079
100|index,6,0.00246641
100|index,7,0.002468
100|index,8,0.00247685
100|index,9,0.00248124
100|index,10,0.00249762
100|index,11,0.00249909
100|index,12,0.00252021
100|index,13,0.0025232
100|index,14,0.00252949
100|index,15,0.00254247
100|index,16,0.00255599
100|index,17,0.00260582
100|index,18,0.00261973
100|index,19,0.00262521
100|index,20,0.00263224
100|index,21,0.00266159
100|index,22,0.00267512
100|index,23,0.00268115
100|index,24,0.00272154
100|index,25,0.00274204
100|index,26,0.0027638
100|index,27,0.00277114
100|index,28,0.0028347
100|index,29,0.00285576
100|index,30,0.00294283
100|index,31,0.00305475
100|scan,1,6.2491
100|scan,2,6.4656
100|scan,3,6.7965
100|scan,4,6.8413
100|scan,5,7.0806
100|scan,6,7.0955
100|scan,7,7.1343
100|scan,8,7.2388
100|scan,9,7.3383
100|scan,10,7.468
100|scan,11,7.5154
100|scan,12,7.5628
100|scan,13,7.9084
100|scan,14,8.1727
100|scan,15,8.2171
100|scan,16,11.5389
100|scan,17,15.5009
100|scan,18,19.3818
100|scan,19,21.5948
100|scan,20,106.774
10|index,1,0.00228609
10|index,2,0.00235277
10|index,3,0.00247082
10|index,4,0.00249747
10|index,5,0.00252283
10|index,6,0.0025656
10|index,7,0.00256635
10|index,8,0.00263927
10|index,9,0.00270574
10|index,10,0.0027563
10|index,11,0.00293753
10|index,12,0.0030047
10|index,13,0.00304727
10|index,14,0.00308565
10|index,15,0.00315531
10|index,16,0.00315661
10|index,17,0.00329133
10|index,18,0.00334627
10|index,19,0.00336598
10|index,20,0.00338475
10|index,21,0.003388
10|index,22,0.00350171
10|index,23,0.00351878
10|index,24,0.00356812
10|index,25,0.00388442
10|index,26,0.00388708
10|index,27,0.00392089
10|index,28,0.00414122
10|index,29,0.00480287
10|index,30,0.00483122
10|index,31,0.00503525
10|scan,1,0.9493
10|scan,2,0.9591
10|scan,3,0.965
10|scan,4,0.9739
10|scan,5,0.9744
10|scan,6,0.9858
10|scan,7,0.9979
10|scan,8,0.9989
10|scan,9,1.001
10|scan,10,1.0117
10|scan,11,1.0232
10|scan,12,1.0572
10|scan,13,1.0926
10|scan,14,1.164
10|scan,15,1.1976
10|scan,16,1.2408
10|scan,17,1.2466
10|scan,18,1.2823
10|scan,19,1.6382
10|scan,20,1.8534
20000|index,1,0.00278043
20000|index,2,0.00284497
20000|index,3,0.00286737
20000|index,4,0.00292692
20000|index,5,0.00296133
20000|index,6,0.00296203
20000|index,7,0.00297611
20000|index,8,0.00303654
20000|index,9,0.00305879
20000|index,10,0.00309126
20000|index,11,0.00314016
20000|index,12,0.00316671
20000|index,13,0.00317378
20000|index,14,0.00318129
20000|index,15,0.00318741
20000|index,16,0.00319011
20000|index,17,0.00320733
20000|index,18,0.00324543
20000|index,19,0.003326
20000|index,20,0.00338506
20000|index,21,0.00339335
20000|index,22,0.00341474
20000|index,23,0.00343892
20000|index,24,0.00345326
20000|index,25,0.00350524
20000|index,26,0.00352409
20000|index,27,0.00364585
20000|index,28,0.00379713
20000|index,29,0.00390307
20000|index,30,0.00420299
20000|index,31,0.0042634
20000|scan,1,1486.73
20000|scan,2,1487.89
20000|scan,3,1513.87
20000|scan,4,1522.28
20000|scan,5,1522.89
20000|scan,6,1530.9
20000|scan,7,1634.27
20000|scan,8,1653.28
