round,node,delay_ms,timed_out,polls
1,node2,1.146400,false,1
1,node3,1.627600,false,1
2,node2,1.288900,false,1
2,node3,1.908700,false,2
3,node2,2.365500,false,1
3,node3,2.463200,false,1
4,node2,1.158600,false,1
4,node3,1.158400,false,1
5,node2,1.145600,false,1
5,node3,1.721100,false,2
6,node2,1.280300,false,1
6,node3,1.276600,false,1
7,node2,2.220000,false,1
7,node3,2.354300,false,1
8,node2,1.045000,false,1
8,node3,1.691600,false,2
9,node2,1.138600,false,1
9,node3,1.568100,false,2
10,node2,1.203500,false,1
10,node3,1.206700,false,1
11,node2,1.023900,false,1
11,node3,1.358200,false,2
12,node2,1.084400,false,1
12,node3,1.084100,false,1
13,node2,1.648700,false,1
13,node3,1.648700,false,1
14,node2,2.682700,false,1
14,node3,2.317600,false,1
15,node2,1.043800,false,1
15,node3,1.038800,false,1
16,node2,1.178700,false,1
16,node3,1.634200,false,2
17,node2,2.602100,false,1
17,node3,2.787900,false,2
18,node2,1.332900,false,1
18,node3,1.331200,false,1
19,node2,2.834200,false,1
19,node3,2.834300,false,1
20,node2,1.048900,false,1
20,node3,1.469700,false,2
21,node2,1.161100,false,1
21,node3,1.666000,false,2
22,node2,1.025000,false,1
22,node3,1.384900,false,2
23,node2,1.671800,false,1
23,node3,1.671900,false,1
24,node2,2.586100,false,1
24,node3,2.347200,false,1
25,node2,1.121000,false,1
25,node3,1.668500,false,2
26,node2,1.329000,false,1
26,node3,1.329000,false,1
27,node2,1.672500,false,1
27,node3,1.651800,false,1
28,node2,2.391400,false,1
28,node3,2.391300,false,1
29,node2,2.194400,false,1
29,node3,1.772500,false,1
30,node2,1.047800,false,1
30,node3,1.460300,false,2
31,node2,1.173200,false,1
31,node3,1.064000,false,1
32,node2,1.264600,false,1
32,node3,1.935000,false,2
33,node2,1.044900,false,1
33,node3,1.476400,false,2
34,node2,1.113000,false,1
34,node3,1.430200,false,2
35,node2,1.472000,false,1
35,node3,1.471800,false,1
36,node2,1.078500,false,1
36,node3,1.112400,false,1
37,node2,1.675800,false,1
37,node3,1.530000,false,1
38,node2,3.022100,false,1
38,node3,2.689700,false,1
39,node2,1.295200,false,1
39,node3,1.318000,false,1
40,node2,1.161100,false,1
40,node3,1.108900,false,1
